"7/19/23, 11:13 AM",cpcb.nic.in/wqm/2014/RIVERWATER DATA 2014_1.htm,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY DATA 2014 | CPCB ENVIS ,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY OF RIVER BEAS - 2014,,,,,,,,,,,,,,,,,,,,,,,,,,
"STATION
CODE",LOCATIONS,STATE,TEMPERATURE ºC,,,,D.O. (mg/l),,,pH,,"CONDUCTIVITY
(µmhos/cm)",,,B.O.D. (mg/l),,,"NITRATE- N+ NITRITE-
N (mg/l)",,,"FECAL COLIFORM
(MPN/100ml)",,,"TOTAL COLIFORM
(MPN/100ml)",,
,,,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean
WATER QUALITY CRITERIA,,,,,,,> 4 mg/l,,,6.5-8.5,,,,,,< 3 mg/l,,,,,< 2500 MPN/100ml,,,< 5000 MPN/100ml,,
1001,"BEAS AT U/S MANALI, H.P.",HIMACHAL PRADESH,1.0,16.0,8.2,7.5,11.0,9.1,7.2,8.4,7.9,55,335,133,0.1,0.4,0.1,0.065,0.492,0.2,8,49,27,23,240,116
1002,"BEAS AT D/S KULU, H.P.",HIMACHAL PRADESH,3.0,19.0,10.0,7.5,11.2,9.1,7.5,8.3,8.0,59,340,128,0.1,0.5,0.2,0,0.492,0.2,22,94,54,130,350,285
1003,"BEAS AT D/S AUT, H.P.",HIMACHAL PRADESH,4.5,15.5,9.9,8.1,11.0,9.3,7.5,8.2,7.9,57,238,117,0.1,0.2,0.1,0.067,0.492,0.2,17,63,33,79,180,123
1004,"BEAS AT U/S PANDON DAM, H.P.",HIMACHAL PRADESH,10.0,23.0,13.6,8.7,10.8,9.6,6.8,8.2,7.7,42,322,173,0.1,0.7,0.2,0.091,0.457,0.3,23,49,36,130,280,184
1005,"BEAS AT EXIT OF TUNNEL DEHAL
POWER HOUSE, H.P.",HIMACHAL PRADESH,5.8,23.0,11.9,8.7,10.0,9.3,6.8,8.5,8.0,115,340,198,0.1,0.4,0.1,0,0.974,0.3,21,94,40,70,280,148
1550,"BEAS AT U/S MANDI, H.P",HIMACHAL PRADESH,7.5,19.0,13.6,8.7,11.4,9.7,7.5,8.4,8.0,63,309,143,0.1,0.5,0.1,0,0.7,0.3,23,94,40,130,920,243
1006,"BEAS AT D/S MANDI, H.P.",HIMACHAL PRADESH,10.0,23.0,14.9,6.9,12.2,9.5,7.4,9.0,8.1,89,340,190,0.1,0.6,0.3,0,0.83,0.3,27,180,67,170,1600,426
2604,BEAS AT D/S JAISINGHPUR,HIMACHAL PRADESH,13.0,21.5,17.9,6.8,10.5,7.8,6.8,8.8,8.1,41,488,270,0.4,1.8,0.8,0.3,1,0.5,,,,,,
1007,"BEAS AT D/S ALAMPUR, H.P.",HIMACHAL PRADESH,12.0,21.8,18.2,0.2,8.8,7.2,6.9,9.1,8.3,98,471,301,0.2,2.0,0.9,0.26,1.02,0.5,,,,,,
1008,"BEAS AT D/S DEHRAGOPIPUR,
H.P.",HIMACHAL PRADESH,14.0,22.0,18.2,7.1,8.3,7.7,7.7,8.6,8.3,118,388,286,0.3,2.0,0.9,0.24,0.97,0.5,,,,,,
1009,"BEAS AT D/S PONG DAM, H.P.",HIMACHAL PRADESH,13.8,24.0,19.4,5.6,9.8,7.8,7.0,8.9,8.0,87,375,222,0.1,0.8,0.4,0.23,0.5,0.4,23,23,23,140,140,140
1693,"BEAS AT TALWARA H/W, PUNJAB",PUNJAB,10.0,24.0,15.7,7.9,7.9,7.9,7.2,7.6,7.4,185,195,191,0.5,0.6,0.6,0.6,1.8,1.2,13,39,24,31,50,42
1694,"BEAS AT U/S PATHANKOT,
PUNJAB",PUNJAB,10.0,24.0,16.0,7.6,7.8,7.7,7.4,7.4,7.4,185,210,200,0.3,0.7,0.6,1,1.4,1.3,130,210,170,330,350,337
1695,"BEAS AT D/S
PATHANKOT,PUNJAB",PUNJAB,11.0,23.0,15.7,7.3,7.5,7.4,7.3,7.7,7.5,240,240,240,0.6,0.8,0.7,2.3,3,2.6,170,210,193,430,490,450
1010,"BEAS AT MIRTHAL BRIDGE,
GURDASPUR, PUNJAB",PUNJAB,10.0,23.0,15.7,7.5,7.6,7.6,7.4,7.6,7.5,220,245,235,0.5,0.8,0.7,1.5,2.6,2.2,70,140,100,220,280,257
1294,"BEAS AT 1KM.D/S OF EFFL. DISH.
POINT AT MUKERIAN ,PUNJAB",PUNJAB,11.0,23.0,16.0,6.1,6.8,6.4,7.1,7.6,7.4,260,290,280,1.8,2.7,2.1,1.6,4.9,3.4,180,790,453,460,1400,773
1011,"BEAS AT G.T.ROAD UNDER BDG.
NEAR KAPURTHALA, PUNJAB",PUNJAB,10.0,22.0,15.3,7.3,7.4,7.4,7.3,7.5,7.4,235,258,248,0.8,0.9,0.8,2.4,3.3,2.9,130,200,177,350,460,400
1696,"BEAS AT U/S GOINDWAL, PUNJAB",PUNJAB,11.0,23.0,16.0,7.4,7.6,7.5,7.2,7.5,7.4,240,270,257,0.6,0.8,0.7,2.1,3.7,2.9,170,280,220,430,430,430
1012,"BEAS AT 100M D/S INDUST.
DISCH. GOINDWAL PUNJAB",PUNJAB,11.0,23.0,16.3,7.3,7.5,7.4,7.2,7.5,7.4,245,270,260,0.6,1.2,0.8,1.8,3.8,3.1,220,640,417,460,900,620
1697,"BEAS AT HARIKE, PUNJAB",PUNJAB,12.0,22.0,16.3,7.3,7.6,7.5,7.3,7.5,7.4,240,260,253,0.6,0.7,0.6,1.4,3.6,2.8,120,200,150,340,400,363
https://cpcb.nic.in/wqm/2014/RIVERWATER DATA 2014_1.htm,1/2,,,,,,,,,,,,,,,,,,,,,,,,,
"7/19/23, 11:13 AM",cpcb.nic.in/wqm/2014/RIVERWATER DATA 2014_1.htm,,,,,,,,,,,,,,,,,,,,,,,,,
2601,BEAS AT D/S MANALI,HIMACHAL PRADESH,1.5,14.0,8.5,7.9,11.0,9.1,7.2,8.0,7.8,63,221,104,0.1,0.6,0.3,0.1,0.6,0.3,14,94,46,33,350,200
2602,BEAS AT U/S KULLU,HIMACHAL PRADESH,3.0,17.5,9.8,7.6,11.2,9.2,7.3,8.2,7.9,55,312,121,0.1,1.0,0.2,0,0.5,0.2,17,70,49,94,280,197
2603,BEAS AT D/S PANDOH DAM,HIMACHAL PRADESH,9.0,18.0,13.8,7.9,11.2,9.6,7.4,8.2,7.8,45,294,126,0.1,0.8,0.2,0,1.3,0.4,23,110,47,170,1600,344
https://cpcb.nic.in/wqm/2014/RIVERWATER DATA 2014_1.htm,2/2,,,,,,,,,,,,,,,,,,,,,,,,,
"7/19/23, 11:15 AM",cpcb.nic.in/wqm/2014/RIVERWATER DATA 2014_10.htm,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY DATA 2014 | CPCB ENVIS ,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY OF RIVER BRAHMAPUTRA - 2014,,,,,,,,,,,,,,,,,,,,,,,,,,
"STATION
CODE",LOCATIONS,STATE,TEMPERATURE ºC,,,,D.O. (mg/l),,,pH,,"CONDUCTIVITY
(µmhos/cm)",,,B.O.D. (mg/l),,,"NITRATE- N+
NITRITE-N (mg/l)",,,"FECAL COLIFORM
(MPN/100ml)",,,"TOTAL COLIFORM
(MPN/100ml)",,
,,,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean
,WATER QUALITY CRITERIA,,,,,,> 4 mg/l,,,6.5-8.5,,,,,,< 3 mg/l,,,,,< 2500 MPN/100ml,,,< 5000 MPN/100ml,,
1260,"BRAHAMPUTRAAT KHERGHAT (AFTER
CONFL. WITH DIBANG & DIHANG),ASSAM",ASSAM,19.0,30.0,22.3,6.0,9.5,7.2,6.7,7.6,7.1,20,532,216,0.7,2.1,1.5,0.1,6.51,1.4,0,730,146,360,46000,5525
1030,"BRAHAMPUTRAAT DIBRUGARH, ASSAM",ASSAM,15.0,29.0,21.8,6.0,11.4,7.7,6.8,7.7,7.2,125,419,256,0.6,3.4,1.4,0.1,5.8,1.5,0,21000,2128,0,240000,45100
1262,"BRAHAMPUTRAAT NIMATIGHAT, ASSAM",ASSAM,19.0,31.0,25.1,5.1,7.8,6.9,6.2,7.8,7.0,125,389,273,0.5,3.0,1.5,0.1,6.8,2.5,0,3500,585,361,240000,26322
1526,"BRAHMPUTRA RIVER AT DHENUKHAPAHAR,
ASSAM",ASSAM,18.0,28.0,24.3,6.8,8.2,7.5,6.6,7.5,7.0,42,1172,298,0.3,2.8,1.3,0,7.3,1.7,0,110000,12418,0,240000,93005
1031,"BRAHAMPUTRAAT PANDU, ASSAM",ASSAM,20.0,30.0,25.4,6.0,11.0,7.9,6.5,7.7,7.2,20,380,236,0.6,2.3,1.4,0.1,7.68,2.3,300,21000,5449,3900,240000,134042
1299,"BRAHAMPUTRAAT JOGIJHOGA NEAR BRIDGE,
ASSAM",ASSAM,20.8,33.0,27.7,4.2,6.6,6.0,6.8,8.0,7.3,145,573,295,0.3,1.9,1.1,0.1,7.43,1.9,0,3500,444,0,46000,8382
,BRAHMPUTRA RIVER NEAR WATER INTAKE,,,,,,,,,,,,,,,,,,,,,,,,,
2069,"POINT AT KACHARIGHAT, PANBAZAR,
GUWAHATI, ASSAM",ASSAM,21.0,30.0,27.0,7.6,8.6,8.1,7.4,7.8,7.6,166,255,210,0.6,1.5,0.9,0.2,3.7,1.2,910,7500,3388,4300,240000,123400
2064,"BRAHMAPUTRA RIVER AT CHANDRAPUR,
GUWAHATI",ASSAM,21.0,29.0,25.8,6.4,8.6,7.3,6.7,7.3,7.1,128,260,168,0.6,3.2,1.6,0.2,0.8,0.4,910,2700,1653,911,240000,61303
2067,"BRAHMPUTRA RIVER AT SUALKUCHI, DIST.
KAMRUP, ASSAM",ASSAM,22.0,30.0,27.3,5.2,8.3,7.1,6.7,7.6,7.2,247,308,289,0.5,2.5,1.6,0.1,4.8,1.4,300,2300,1208,2301,24000,8725
2066,BRAHMAPUTRA RIVER AT DHUBRI,ASSAM,23.0,33.0,28.2,3.8,6.0,5.1,6.5,7.4,7.0,148,334,253,1.0,1.9,1.5,0.4,4.1,1.4,300,9300,2990,910,240000,180228
https://cpcb.nic.in/wqm/2014/RIVERWATER DATA 2014_10.htm,1/1,,,,,,,,,,,,,,,,,,,,,,,,,
"7/19/23, 11:18 AM",cpcb.nic.in/wqm/2014/RIVERWATER DATA 2014_29.htm,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY DATA 2014 | CPCB ENVIS ,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY OF RIVER CAUVERY - 2014,,,,,,,,,,,,,,,,,,,,,,,,,,
"STATION
CODE",LOCATIONS,STATE,TEMPERATURE ºC,,,,D.O. (mg/l),,,pH,,"CONDUCTIVITY
(µmhos/cm)",,,B.O.D. (mg/l),,,"NITRATE- N+
NITRITE-N (mg/l)",,,,"FECAL COLIFORM
(MPN/100ml)",,"TOTAL COLIFORM
(MPN/100ml)",,
,,,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean
,WATER QUALITY CRITERIA,,,,,,> 4 mg/l,,,6.5-8.5,,,,,,< 3 mg/l,,,,,,< 2500 MPN/100ml,,< 5000 MPN/100ml,,
1198,"CAUVERY AT NAPOKULU BDG (D/S),
KARNATAKA",KARNATAKA,22.0,28.0,25.0,6.3,7.4,6.8,6.2,8.1,7.1,40,76,56,1.0,1.0,1.0,0.03,0.075,0,91,210,135,380,940,570
1195,"CAUVERY AT KUSHAL NAGAR U/S (NEAR
BAICHANAHALLI), KARNATAKA",KARNATAKA,23.0,29.0,25.3,6.0,7.6,6.7,6.6,7.9,7.5,58,138,93,1.0,1.0,1.0,0.06,0.17,0.1,110,310,181,580,1500,850
33,"CAUVERY AT KRS
DAM,BALAMURIKSHETRA,KARNATAKA",KARNATAKA,26.0,30.0,27.1,6.2,7.3,6.9,7.4,8.9,8.2,79,300,220,1.0,2.0,1.5,0.06,0.29,0.2,210,380,287,840,1500,1202
1386,"CAUVERY AT D/S OF KAREKUARA VILLAGE,
KARNATAKA",KARNATAKA,26.0,30.0,27.3,6.2,8.0,7.2,7.3,8.6,8.1,85,308,229,1.0,2.0,1.2,0.1,0.3,0.2,26,320,233,630,1400,1101
1171,"CAUVERY AT SRI RANGAPATTANNA,D/S OF
ROAD BDG.,KARNATAKA",KARNATAKA,25.0,30.0,26.8,5.8,7.0,6.4,7.0,8.5,8.0,112,360,273,1.0,3.0,2.3,0.16,0.35,0.3,700,1500,1079,900,6300,4150
34,"CAUVERY AT SATHYAGALAM BRIDGE,
KARNATAKA",KARNATAKA,26.0,29.0,27.5,5.7,8.4,6.9,6.7,8.4,7.7,152,464,333,1.0,3.0,2.0,0.17,0.44,0.3,210,840,491,1100,2800,1892
2773,"CAUVERY AT BANNUR BRIDGE, KARNATAKA",KARNATAKA,22.0,29.0,25.3,5.8,8.3,6.9,7.2,8.8,8.1,180,653,333,1.0,2.0,1.7,0.2,0.6,0.3,170,630,356,790,2100,1449
2774,"CAUVERY AT RANGANATHITTU, KARNATAKA",KARNATAKA,25.0,30.0,26.7,5.8,7.1,6.3,7.1,8.5,8.0,94,324,241,1.0,2.0,1.8,0.1,0.3,0.2,390,1100,611,1700,4300,2500
50,"CAUVERY AT METTUR, TAMIL NADU",TAMILNADU,23.0,30.0,26.8,3.9,9.7,6.4,7.5,8.7,8.1,203,481,388,0.2,3.5,1.3,0.05,0.34,0.2,170,17000,4988,200,35000,9615
1322,"CAUVERY AT 1KM. D/S OF BHAVANI RIVER
CONFL., TAMILNADU",TAMILNADU,24.0,30.0,27.3,2.5,8.0,5.6,7.6,8.3,8.0,187,506,408,0.3,2.9,1.4,0,0.33,0.2,140,32000,7956,170,39000,13813
51,"CAUVERY AT PALLIPPALAYAM, TAMIL NADU",TAMILNADU,25.0,33.2,27.9,4.8,10.1,7.0,7.6,8.5,8.2,200,768,458,0.4,6.1,2.1,0.06,0.39,0.2,220,28000,7277,390,35000,12474
1320,"CAUVERY AT ERODE NEAR CHIRAPALAYAM,
TAMILNADU",TAMILNADU,26.0,30.0,27.8,0.0,8.0,4.4,7.2,8.6,7.9,188,1930,849,0.4,58.0,14.4,0.1,0.35,0.2,170,28000000,2377885,300,35000000,2991748
1323,"CAUVERY AT VELORE NEAR KATTIPALAYAM,
TAMILNADU",TAMILNADU,25.0,35.4,27.3,6.1,10.1,7.7,7.9,8.7,8.4,240,1087,541,0.6,5.6,2.2,0.1,0.37,0.2,33,35000,7019,49,160000,19174
3015,"CAUVERY AT PUGALUR, KARUR, TAMILNADU",TAMILNADU,27.0,33.0,28.5,6.2,8.6,7.6,7.8,8.6,8.3,298,648,521,0.3,3.6,1.2,0,0.5,0.3,220,35000,6726,270,160000,20134
1324,"CAUVERY AT MOHANUR NEAR
PATTAIPALAYAM, TAMILNADU",TAMILNADU,26.0,33.0,26.9,4.8,9.8,7.2,7.9,8.6,8.3,276,883,541,0.1,5.7,1.8,0.1,0.35,0.2,49,35000,6872,79,160000,30275
1451,"CAUVERY AT THIRUMUKKUDAL-CONFL. PT.OF
R. AMRAVATI,TAMILNADU",TAMILNADU,26.0,30.7,28.2,6.1,9.3,7.8,7.7,8.7,8.3,228,637,514,0.3,3.7,1.0,0.1,0.4,0.3,110,28000,8992,140,160000,23061
31,"CAUVERY AT MUSIRI, TAMIL NADU",TAMILNADU,24.0,29.0,25.6,6.6,10.2,8.5,7.9,8.7,8.4,303,800,575,0.4,3.6,1.4,0.05,0.53,0.2,170,35000,6705,220,160000,20216
3016,"CAUVERY AT PETTAIVAITHALAI, TRICHY,
TAMILNADU",TAMILNADU,24.0,29.0,25.0,6.4,10.8,8.6,7.9,8.8,8.3,287,812,575,0.5,3.7,1.3,0,0.5,0.2,260,170000,24822,320,350000,54768
1202,"CAUVERY AT TIRUCHIRAPPALLI U/S,
TAMILNADU",TAMILNADU,23.0,29.0,24.8,5.9,9.7,8.1,7.9,8.7,8.4,236,686,489,0.2,7.2,1.8,0.03,0.37,0.2,220,170000,23957,330,280000,57494
1325,"CAUVERY AT TIRUCHIRAPPALLI D/S,
TAMILNADU",TAMILNADU,23.0,28.0,23.9,1.2,8.4,5.5,7.4,8.6,8.0,279,1438,829,0.7,18.0,5.5,0,6.14,0.7,320,11000000,975610,390,22000000,1939974
1203,"CAUVERY AT TRICHY,GRAND ANAICUT,
TAMILNADU",TAMILNADU,23.0,28.0,23.9,3.7,10.2,6.5,7.8,8.8,8.2,274,1323,728,0.8,12.0,3.7,0.05,0.48,0.2,320,540000,73607,390,920000,127304
1206,"CAUVERY AT THANJAVUR, TAMILNADU",TAMIL NADU,19.0,30.0,26.0,7.2,10.2,8.4,8.2,8.8,8.5,264,931,598,0.1,5.1,2.0,0.05,0.48,0.3,140,2600,749,220,3200,1046
https://cpcb.nic.in/wqm/2014/RIVERWATER DATA 2014_29.htm,1/2,,,,,,,,,,,,,,,,,,,,,,,,,
"7/19/23, 11:18 AM",cpcb.nic.in/wqm/2014/RIVERWATER DATA 2014_29.htm,,,,,,,,,,,,,,,,,,,,,,,,,
3018,"CAUVERY AT MAYILADUTHURAI,
NAGAPATTINAM, TAMILNADU",TAMILNADU,24.0,24.0,24.0,5.9,8.2,7.5,7.0,8.5,8.0,248,495,370,0.7,3.5,1.9,0,2.8,0.6,210,54000,11578,260,92000,18930
3012,"CAUVERY AT KOMARAPALAYAM, NAMAKAL,
TAMILNADU",TAMILNADU,25.0,32.0,28.7,1.1,9.5,6.3,7.6,8.5,8.2,217,555,427,0.1,6.7,2.8,0,0.5,0.2,220,28000,10988,390,35000,16907
3013,"CAUVERY AT URRACHIKOTTAI, ERODE,
TAMILNADU",TAMILNADU,22.0,35.0,26.7,5.8,8.9,7.3,7.4,8.7,8.2,225,473,342,0.4,2.1,1.4,0,0.8,0.3,140,160000,17318,170,160000,20363
3014,"CAUVERY AT VAIRAPALAYAM, NAMAKAL,
TAMILNADU",TAMILNADU,25.0,32.0,28.5,3.8,9.2,6.5,7.6,8.7,8.2,218,578,402,0.2,6.4,2.0,0,0.4,0.2,170,35000,9481,330,160000,35428
3017,"CAUVERY AT KUMBAKONAM, THANJAVUR,
TAMILNADU",TAMILNADU,20.0,34.0,28.7,5.9,9.8,7.5,8.2,8.7,8.4,234,639,480,0.4,2.3,1.6,0,0.5,0.2,33,14000,3400,260,22000,6664
,ESTUARINE ZONE,,,,,,,,,,,,,,,,,,,,,,,,,
1326,"CAUVERY AT COLEROON, TAMILNADU",TAMILNADU,27.0,29.0,27.3,4.1,10.5,7.4,7.7,8.5,8.2,378,29600,6039,0.0,8.7,2.4,0.1,0.38,0.3,320,220000,28243,390,1600000,150428
1327,"CAUVERY AT PITCHAVARAM, TAMILNADU",TAMILNADU,26.0,29.0,26.3,0.0,8.9,4.0,7.1,8.5,7.9,309,9810,3081,0.0,10.0,2.6,0.1,0.48,0.3,170,1100000,124951,200,2200000,239958
https://cpcb.nic.in/wqm/2014/RIVERWATER DATA 2014_29.htm,2/2,,,,,,,,,,,,,,,,,,,,,,,,,
"7/19/23, 11:14 AM",cpcb.nic.in/wqm/2014/RIVERWATER DATA 2014_5.htm,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY DATA 2014 | CPCB ENVIS ,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY OF RIVER GANGA - 2014,,,,,,,,,,,,,,,,,,,,,,,,,,
"STATION
CODE",LOCATIONS,STATE,TEMPERATURE ºC,,,,D.O. (mg/l),,,pH,,"CONDUCTIVITY
(µmhos/cm)",,,B.O.D. (mg/l),,,"NITRATE- N+
NITRITE-N (mg/l)",,,"FECAL COLIFORM
(MPN/100ml)",,,"TOTAL COLIFORM
(MPN/100ml)",,
,,,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean
,WATER QUALITY CRITERIA,,,,,,> 4 mg/l,,,6.5-8.5,,,,,,< 3 mg/l,,,,,< 2500 MPN/100ml,,,< 5000 MPN/100ml,,
1484,"ALKANANDA B/C MANDAKINI AT RUDRA
PRAYAG, UTTAR PRADESH",UTTARAKHAND,16.0,19.0,17.5,7.8,9.2,8.5,8.0,8.2,8.1,,,,0.6,0.8,0.7,0,0,0,,,,,,
1485,"MANDAKINI B/C ALKALNADAAT
RUDRAPRAYAG, UTTAR PRADESH",UTTARAKHAND,15.0,18.0,16.3,8.6,9.0,8.8,8.0,8.2,8.1,,,,0.6,0.8,0.7,0,0,0,,,,,,
1486,"ALKANANDAA/C MANDAKINI AT
RUDRAPRAYAG, UTTAR PRADESH",UTTARAKHAND,15.0,19.0,16.7,7.4,8.4,8.1,7.8,8.2,8.0,,,,0.8,1.2,1.0,0,0,0,,,,,,
1487,"ALKANANDA B/C TO BHAGIRATHI AT
DEVPRAYAG, UTTAR PRADESH",UTTARAKHAND,16.0,19.0,17.3,7.4,9.0,8.4,7.8,8.2,8.1,,,,1.0,1.0,1.0,0,0,0,,,,,,
1488,"BHAGIRATHI B/C WITH ALAKNANDAAT
DEVPRAYAG, U.P",UTTARAKHAND,16.0,19.0,17.0,7.8,9.4,8.7,7.9,8.2,8.1,,,,0.6,1.2,0.9,0,0,0,,,,,,
1489,"ALKANANDAA/C WITH BHAGIRATHI AT
DEVPRAYAG, UTTAR PRADESH",UTTARAKHAND,16.0,19.0,17.0,7.4,8.8,8.2,7.9,8.2,8.0,,,,0.8,1.2,1.1,0,0,0,,,,,,
1060,"GANGAAT RISHIKESH U/S, U.P",UTTARAKHAND,13.0,20.0,17.2,7.4,9.6,8.7,7.3,8.0,7.7,,,,0.8,1.4,1.1,0,0,0,,,,4,40,22
2725,"GANGA RIVER AFTER CONFLUENCE OF
RIVER SONG NEAR SATYANARAYAN TEMPLE
D/S RAIWALA",UTTARAKHAND,15.0,25.0,21.0,6.2,7.6,6.9,7.5,8.7,7.8,,,,1.4,12.0,5.2,0,0,0,,,,220,1600,908
1061,"GANGAAT HARIDWAR D/S, U.P",UTTARAKHAND,23.0,27.0,24.4,4.0,6.2,5.4,6.3,7.7,7.5,,,,3.2,7.2,5.3,0,0,0,,,,1600,1600,1600
2727,UPPER GANGA RIVER D/S ROORKEE,UTTARAKHAND,13.5,22.0,18.7,7.2,8.4,7.7,7.2,8.1,7.7,,,,1.2,2.8,2.1,0,0,0,,,,80,350,177
1062,"GANGAAT GARHMUKTESHWAR, U.P",UTTAR PRADESH,15.0,28.0,23.0,7.2,11.1,9.0,6.8,7.8,7.4,170,300,242,1.4,3.5,2.5,0,0.68,0.4,500,840,664,900,1500,1268
2488,"GANGA U/S, ANOOPSHAHAR",UTTAR PRADESH,23.0,23.0,23.0,8.0,8.0,8.0,7.3,7.5,7.4,190,391,310,2.3,3.0,2.7,0,0.5,0.1,4000,4000,4000,630,630,630
2489,"GANGA D/S, ANOOPSHAHAR",UTTAR PRADESH,22.0,22.0,22.0,8.2,8.2,8.2,7.5,7.5,7.5,220,350,293,2.1,2.9,2.6,0,0.5,0.1,370,370,370,610,610,610
1145,"GANGAAT NARORA (BULANDSAHAR), U.P.",UTTAR PRADESH,23.0,23.0,23.0,7.8,7.8,7.8,7.3,7.5,7.4,250,380,320,2.8,3.3,3.1,0,0.5,0.1,410,410,410,630,630,630
2490,"GANGAAT KACHHLA GHAT, ALIGARH",UTTAR PRADESH,23.0,23.0,23.0,7.3,7.3,7.3,7.4,7.5,7.5,210,330,277,0.0,2.2,1.4,0,0,0,400,400,400,610,610,610
1063,"GANGAAT KANNAUJ U/S (RAJGHAT), U.P",UTTAR PRADESH,13.0,34.0,26.9,6.5,9.0,7.9,7.4,8.4,7.9,44,403,288,1.8,3.8,2.9,0.18,0.32,0.2,1600,2600,2200,3500,4900,4467
